Pays,Annee_2019,Annee_2021,Annee_2022,Variation_22_21_pct
France,1990813,493933,1505443,205
Espagne,880818,99495,901672,806
Royaume-Uni,551499,56435,481905,754
Allemagne,413384,38894,171219,340
Italie,351916,52588,239879,356
Belgique,272328,64996,172608,166
Pays-Bas,241065,34591,129922,276
Portugal,119738,12238,95607,681
Suede,43990,2611,18902,624
Autriche,41666,6269,21224,239
Danemark,31018,3488,15118,333
Irlande,25992,4668,29847,539
Finlande,21877,1403,7998,470
Grece,13072,1012,4935,388
Luxembourg,5440,1013,3055,202
Suisse,95790,20732,58016,180
Pologne,18508,1901,10797,468
Russie,78419,8434,41337,390
Turquie,40020,12080,18393,52
Republique Tcheque,27981,2114,13783,552
Norvege,38514,14585,37643,158
Hongrie,15764,1662,7357,343
Etats-Unis,346702,66991,231006,245
Canada,131497,19485,71685,268
Bresil,22203,781,11359,1354
Mexique,47113,3217,22309,593
Argentine,23847,2312,19483,743
Algerie,117324,9536,35280,270
Tunisie,58225,13057,36106,177
Libye,3105,1109,2032,83
Mauritanie,48627,22563,44238,96
Arabie Saoudite,91979,36253,79575,119
Egypte,28305,4288,16181,277
Emirats Arabes Unis,21415,14784,21474,45
Koweit,20410,7121,19919,180
Senegal,57740,29935,57338,92
Mali,12337,3854,5892,53
Guinee,12388,2697,6913,156
Afrique du Sud,6638,635,3978,526
Chine,141050,4762,27979,488
Coree du Sud,40723,1555,7639,391
Japon,17634,5988,14540,143
Philippines,16527,2857,13061,357
Inde,39445,927,5861,532
Australie,37625,1146,16190,1313
