Destination,Annee_2019,Annee_2021,Annee_2022,Variation_22_21_pct,Taux_Recup_vs_2019_pct
Marrakech,8341995,2339684,6084494,160,-27
Agadir,6053757,1697626,4294167,153,-29
Casablanca,2158686,814852,1506952,85,-30
Tanger,1425592,838154,1354385,62,-5
Fes,1117560,430986,746445,73,-33
Rabat,785260,371724,669137,80,-15
Ouarzazate,379267,75745,160962,113,-58
Essaouira,556377,179528,484181,170,-13
Meknes,252052,110981,169805,53,-33
El Jadida,350854,172474,273144,58,-22
Al Haouz,702316,211530,438545,107,-38
Errachidia,155533,55169,81646,48,-48
M'diq-Fnideq,305897,193588,295424,53,-3
Berkane-Saidia,490270,235100,350456,49,-29
Chefchaouen,146598,54552,129696,138,-12
Nouaceur,164977,68380,118101,73,-28
Oujda-Angad,166080,119130,147985,24,-11
Tetouan,169263,89403,148503,66,-12
Ifrane,159337,129659,146341,13,-8
Beni Mellal,85248,75939,90783,20,6
Azilal,87204,63147,76317,21,-12
Nador,93047,109904,134412,22,44
Kenitra,109510,41326,102199,147,-7
Mohammadia,95455,58389,92178,58,-3
Al Hoceima,86275,96343,140420,46,63
Oued Ed-Dahab,161628,135094,192359,42,19
Laayoune,61822,50333,73664,46,19
Guelmim,44243,19725,24978,27,-44
Safi,48179,33721,45036,34,-7
