Nationalite,Annee_2019,Annee_2021,Annee_2022,Variation_22_21_pct,Variation_22_19_pct
Non-Residents Total,17427390,2815942,11069701,293,-36
Residents Total,7844365,6377641,7940132,24,1
France,4856348,985218,3411335,246,-30
Espagne,878897,113462,529618,367,-40
Royaume-Uni,2223950,239705,1689996,605,-24
Allemagne,1747721,69162,428559,520,-75
Italie,419355,39618,260705,558,-38
Suede,83144,10075,28464,183,-66
Autriche,61660,3708,34035,818,-45
Portugal,334952,18425,254270,1280,-24
Pays-Bas,437279,52275,243383,366,-44
Belgique,561465,93770,338574,261,-40
Suisse,182448,55101,117249,113,-36
Hongrie,22322,3468,12637,264,-43
Russie,109509,29158,40417,39,-63
Pologne,317427,25775,113983,342,-64
Etats-Unis,673170,174232,550867,216,-18
Canada,177097,27004,128491,376,-27
Japon,143257,5145,13090,154,-91
Chine,370381,16000,91303,471,-75
Arabie Saoudite,299529,93669,190959,104,-36
Israel,0,0,152126,0,0
