Indicateur,Annee_2019,Annee_2021,Annee_2022
Arrivees TNR Postes Frontieres,12932734.0,3721702.0,10868863.0
Arrivees TES Postes Frontieres,7043480.0,1284335.0,5064780.0
Arrivees MRE Postes Frontieres,5889254.0,2437367.0,5804083.0
Nuitees Globales EHTC,25271755.0,9193583.0,19009833.0
Nuitees Non-Residents EHTC,17427390.0,2815942.0,11069701.0
Nuitees Residents EHTC,7844365.0,6377641.0,7940132.0
Capacite Lits,270809.0,282512.0,289443.0
Taux Occupation Moyen (%),48.0,25.0,41.0
Recettes Voyage (Milliards DHS),78.747,34.31,93.638
Nombre Etablissements,4235.0,4499.0,4650.0
Nombre Chambres,124232.0,129324.0,132659.0
Arrivees EHTC Total,9180120.0,3641869.0,6927053.0
Arrivees Non-Residents EHTC,5622857.0,875661.0,3422624.0
Arrivees Residents EHTC,3557263.0,2766208.0,3504429.0
