Destination,Non_Residents,Residents,Total,Taux_Occupation_pct
Marrakech,1123512,809580,1933092,55
Agadir Ida Outanane,523410,475873,999283,52
Casablanca,447618,293703,741321,37
Tanger,252705,357331,610036,48
Fes,198998,170554,369552,42
Rabat,151505,170174,321679,46
Essaouira,116702,79172,195874,37
Ouarzazate,80052,28575,108627,19
El Jadida,30604,75657,106261,44
Meknes,31099,75132,106231,22
M'diq-Fnideq,24632,73855,98487,26
Chefchaouen,10795,80858,91653,27
Al Haouz,167920,77226,87842,62
Oujda-Angad,11811,74889,86700,26
Berkane-Saidia,6665,78445,85110,30
Tetouan,12678,60620,73298,34
Nouaceur,43228,28170,71398,57
Nador,6217,64150,70367,21
Ifrane,12773,56219,68992,16
Beni Mellal,7634,60883,68517,21
Errachidia,5672,56895,62567,16
Al Hoceima,9689,51891,61580,22
Kenitra,5013,41712,46725,34
Azilal,3098,43498,46596,12
